"sim_name","me_weight","effect_weight","eta","objective","objective_sd","zero_prop","n_zero","n_nonzero","success_rate","objective_min","objective_increase","objective_increase_pct"
"me_2.5_effect_1",2.5,1,3.56224789026244e-05,2.71713254789721,NA,0,0,18,1,2.7170991487488,3.33991484140483e-05,0.00122922081917505
"me_2.5_effect_1",2.5,1,4.8939009184775e-05,2.71716477760552,NA,0,0,18,1,2.7170991487488,6.56288567228991e-05,0.0024154016151056
"me_2.5_effect_1",2.5,1,6.72335753649933e-05,2.71722560520851,NA,0,0,18,1,2.7170991487488,0.000126456459712987,0.0046540980946985
"me_2.5_effect_1",2.5,1,9.23670857187387e-05,2.71734040335124,NA,0,0,18,1,2.7170991487488,0.000241254602440844,0.00887912399339344
"me_2.5_effect_1",2.5,1,0.000126896100316792,2.71755705303351,NA,0,0,18,1,2.7170991487488,0.000457904284709265,0.0168526895649033
"me_2.5_effect_1",2.5,1,0.000174332882219999,2.71796590866306,NA,0,0,18,1,2.7170991487488,0.000866759914257109,0.0319001945385852
"me_2.5_effect_1",2.5,1,0.000239502661998749,2.7187374533834,NA,0,0,18,1,2.7170991487488,0.00163830463460224,0.0602960931829324
"me_2.5_effect_1",2.5,1,0.000329034456231267,2.72019333071392,NA,0,0,18,1,2.7170991487488,0.00309418196512468,0.113878139726683
"me_2.5_effect_1",2.5,1,0.000452035365636024,2.72294027543318,NA,0,0,18,1,2.7170991487488,0.00584112668438141,0.214976574817713
"me_2.5_effect_1",2.5,1,0.000621016941891562,2.72794642446526,NA,0.0555555555555556,1,17,1,2.7170991487488,0.0108472757164573,0.399222668096317
"me_2.5_effect_1",2.5,1,0.000853167852417281,2.73484476457646,NA,0.111111111111111,2,16,1,2.7170991487488,0.0177456158276619,0.653108880323104
"me_2.5_effect_1",2.5,1,0.001,2.7394087712909,NA,0.185185185185185,3.33333333333333,14.6666666666667,1,2.7170991487488,0.0223096225421004,0.821082386793792
"me_2.5_effect_1",2.5,1,0.00117210229753348,2.747244510934,NA,0.185185185185185,3.33333333333333,14.6666666666667,1,2.7170991487488,0.0301453621851979,1.10946861100301
"me_2.5_effect_1",2.5,1,0.00161026202756094,2.77287538812581,NA,0.185185185185185,3.33333333333333,14.6666666666667,1,2.7170991487488,0.0557762393770096,2.05278631082322
"me_2.5_effect_1",2.5,1,0.00221221629107045,2.81790557669401,NA,0.240740740740741,4.33333333333333,13.6666666666667,1,2.7170991487488,0.100806427945213,3.71007543068989
"me_2.5_effect_1",2.5,1,0.0030391953823132,2.89448974832531,NA,0.259259259259259,4.66666666666667,13.3333333333333,1,2.7170991487488,0.177390599576511,6.528675983657
"me_2.5_effect_1",2.5,1,0.0041753189365604,3.02320659862028,NA,0.351851851851852,6.33333333333333,11.6666666666667,1,2.7170991487488,0.306107449871485,11.2659653959424
"me_2.5_effect_1",2.5,1,0.00573615251044868,3.2131612734334,NA,0.462962962962963,8.33333333333333,9.66666666666667,1,2.7170991487488,0.496062124684605,18.2570490632643
"me_2.5_effect_1",2.5,1,0.00788046281566991,3.41586737727311,NA,0.574074074074074,10.3333333333333,7.66666666666667,1,2.7170991487488,0.69876822852431,25.717435775065
"me_2.5_effect_1",2.5,1,0.0108263673387405,3.71549161593734,NA,0.592592592592593,10.6666666666667,7.33333333333333,1,2.7170991487488,0.998392467188541,36.7447933450751
"me_2.5_effect_1",2.5,1,0.0148735210729351,4.19065257349678,NA,0.685185185185185,12.3333333333333,5.66666666666667,1,2.7170991487488,1.47355342474798,54.232596754025
"me_2.5_effect_1",2.5,1,0.0204335971785694,4.73241408882331,NA,0.740740740740741,13.3333333333333,4.66666666666667,1,2.7170991487488,2.01531494007451,74.1715642214436
"me_2.5_effect_1",2.5,1,0.0280721620394118,5.37369283582151,NA,0.833333333333333,15,3,1,2.7170991487488,2.65659368707271,97.7731595954476
"me_2.5_effect_1",2.5,1,0.0385662042116347,6.20211078411895,NA,0.925925925925926,16.6666666666667,1.33333333333333,1,2.7170991487488,3.48501163537015,128.262218070878
"me_2.5_effect_1",2.5,1,0.0529831690628371,6.88988898332176,NA,0.981481481481482,17.6666666666667,0.333333333333333,1,2.7170991487488,4.17278983457296,153.575177280317
"me_2.5_effect_1",2.5,1,0.0727895384398315,6.9803606396815,NA,1,18,0,1,2.7170991487488,4.2632614909327,156.904892222866
"me_2.5_effect_1",2.5,1,0.1,6.9803606396815,NA,1,18,0,1,2.7170991487488,4.2632614909327,156.904892222866
